DisplayName,Description,MailNickname,MemberShipRule
alienwarearea-51aat2250,Alienware Area-51 AAT2250,alienwarearea-51aat2250,Alienware Area-51 AAT2250
alienwareaurorar8,Alienware Aurora R8,alienwareaurorar8,Alienware Aurora R8
pb13250,Dell Pro 13 Plus PB13250,pb13250,Dell Pro 13 Plus PB13250
pc14250,Dell Pro 14 PC14250,pc14250,Dell Pro 14 PC14250
pb14250,Dell Pro 14 Plus PB14250,pb14250,Dell Pro 14 Plus PB14250
pc16250,Dell Pro 16 PC16250,pc16250,Dell Pro 16 PC16250
pb16250,Dell Pro 16 Plus PB16250,pb16250,Dell Pro 16 Plus PB16250
qb24250,Dell Pro 24 All-in-One PLUS QB24250,qb24250,Dell Pro 24 All-in-One PLUS QB24250
qc24250,Dell Pro 24 All-in-One QC24250,qc24250,Dell Pro 24 All-in-One QC24250
mc16250,Dell Pro Max 16 MC16250,mc16250,Dell Pro Max 16 MC16250
fcm2250,Dell Pro Max Micro FCM2250,fcm2250,Dell Pro Max Micro FCM2250
fcs1250,Dell Pro Max Slim FCS1250,fcs1250,Dell Pro Max Slim FCS1250
fct2250,Dell Pro Max Tower T2 FCT2250,fct2250,Dell Pro Max Tower T2 FCT2250
qbm1250,Dell Pro Micro Plus QBM1250,qbm1250,Dell Pro Micro Plus QBM1250
rb14250,Dell Pro Rugged 14 RB14250,rb14250,Dell Pro Rugged 14 RB14250
qbs1250,Dell Pro Slim Plus QBS1250,qbs1250,Dell Pro Slim Plus QBS1250
qcs1250,Dell Pro Slim QCS1250,qcs1250,Dell Pro Slim QCS1250
inspiron155501,Inspiron 15 5501,inspiron155501,Inspiron 15 5501
inspiron277710all-in-one,Inspiron 27 7710 All-in-One,inspiron277710all-in-one,Inspiron 27 7710 All-in-One
latitude3340,Latitude 3340,latitude3340,Latitude 3340
latitude33902-in-1,Latitude 3390 2-in-1,latitude33902-in-1,Latitude 3390 2-in-1
latitude3420,Latitude 3420,latitude3420,Latitude 3420
latitude3440,Latitude 3440,latitude3440,Latitude 3440
latitude3500,Latitude 3500,latitude3500,Latitude 3500
latitude3520,Latitude 3520,latitude3520,Latitude 3520
latitude3550,Latitude 3550,latitude3550,Latitude 3550
latitude52902-in-1,Latitude 5290 2-in-1,latitude52902-in-1,Latitude 5290 2-in-1
latitude53002-in-1,Latitude 5300 2-in-1,latitude53002-in-1,Latitude 5300 2-in-1
latitude5320,Latitude 5320,latitude5320,Latitude 5320
latitude5330,Latitude 5330,latitude5330,Latitude 5330
latitude5350,Latitude 5350,latitude5350,Latitude 5350
latitude5400,Latitude 5400,latitude5400,Latitude 5400
latitude5401,Latitude 5401,latitude5401,Latitude 5401
latitude5411,Latitude 5411,latitude5411,Latitude 5411
latitude5420,Latitude 5420,latitude5420,Latitude 5420
latitude5421,Latitude 5421,latitude5421,Latitude 5421
latitude5430,Latitude 5430,latitude5430,Latitude 5430
latitude5431,Latitude 5431,latitude5431,Latitude 5431
latitude5440,Latitude 5440,latitude5440,Latitude 5440
latitude5450,Latitude 5450,latitude5450,Latitude 5450
latitude5490,Latitude 5490,latitude5490,Latitude 5490
latitude5491,Latitude 5491,latitude5491,Latitude 5491
latitude5500,Latitude 5500,latitude5500,Latitude 5500
latitude5501,Latitude 5501,latitude5501,Latitude 5501
latitude5511,Latitude 5511,latitude5511,Latitude 5511
latitude5520,Latitude 5520,latitude5520,Latitude 5520
latitude5521,Latitude 5521,latitude5521,Latitude 5521
latitude5530,Latitude 5530,latitude5530,Latitude 5530
latitude5531,Latitude 5531,latitude5531,Latitude 5531
latitude5540,Latitude 5540,latitude5540,Latitude 5540
latitude5550,Latitude 5550,latitude5550,Latitude 5550
latitude5590,Latitude 5590,latitude5590,Latitude 5590
latitude5591,Latitude 5591,latitude5591,Latitude 5591
latitude7290,Latitude 7290,latitude7290,Latitude 7290
latitude7300,Latitude 7300,latitude7300,Latitude 7300
latitude7310,Latitude 7310,latitude7310,Latitude 7310
latitude7320,Latitude 7320,latitude7320,Latitude 7320
latitude7330ruggedextreme,Latitude 7330 Rugged Extreme,latitude7330ruggedextreme,Latitude 7330 Rugged Extreme
latitude7410,Latitude 7410,latitude7410,Latitude 7410
latitude7420,Latitude 7420,latitude7420,Latitude 7420
latitude7430,Latitude 7430,latitude7430,Latitude 7430
latitude7440,Latitude 7440,latitude7440,Latitude 7440
latitude7450,Latitude 7450,latitude7450,Latitude 7450
latitude7490,Latitude 7490,latitude7490,Latitude 7490
latitude7640,Latitude 7640,latitude7640,Latitude 7640
latitude9510,Latitude 9510,latitude9510,Latitude 9510
latitude9520,Latitude 9520,latitude9520,Latitude 9520
latitudee5450,Latitude E5450,latitudee5450,Latitude E5450
latitudee5470,Latitude E5470,latitudee5470,Latitude E5470
optiplex3000,OptiPlex 3000,optiplex3000,OptiPlex 3000
optiplex3070,OptiPlex 3070,optiplex3070,OptiPlex 3070
optiplex3080,OptiPlex 3080,optiplex3080,OptiPlex 3080
optiplex3280aio,OptiPlex 3280 AIO,optiplex3280aio,OptiPlex 3280 AIO
optiplex5000,OptiPlex 5000,optiplex5000,OptiPlex 5000
optiplex5060,OptiPlex 5060,optiplex5060,OptiPlex 5060
optiplex5070,OptiPlex 5070,optiplex5070,OptiPlex 5070
optiplex5080,OptiPlex 5080,optiplex5080,OptiPlex 5080
optiplex5090,OptiPlex 5090,optiplex5090,OptiPlex 5090
optiplex5260aio,OptiPlex 5260 AIO,optiplex5260aio,OptiPlex 5260 AIO
optiplex5490aio,OptiPlex 5490 AIO,optiplex5490aio,OptiPlex 5490 AIO
optiplex7000,OptiPlex 7000,optiplex7000,OptiPlex 7000
optiplex7010,OptiPlex 7010,optiplex7010,OptiPlex 7010
optiplex7040,OptiPlex 7040,optiplex7040,OptiPlex 7040
optiplex7050,OptiPlex 7050,optiplex7050,OptiPlex 7050
optiplex7060,OptiPlex 7060,optiplex7060,OptiPlex 7060
optiplex7080,OptiPlex 7080,optiplex7080,OptiPlex 7080
optiplex7090,OptiPlex 7090,optiplex7090,OptiPlex 7090
optiplex7400aio,OptiPlex 7400 AIO,optiplex7400aio,OptiPlex 7400 AIO
optiplex7460aio,OptiPlex 7460 AIO,optiplex7460aio,OptiPlex 7460 AIO
optiplex7470aio,OptiPlex 7470 AIO,optiplex7470aio,OptiPlex 7470 AIO
optiplex7480aio,OptiPlex 7480 AIO,optiplex7480aio,OptiPlex 7480 AIO
optiplex7490aio,OptiPlex 7490 AIO,optiplex7490aio,OptiPlex 7490 AIO
optiplex7760aio,OptiPlex 7760 AIO,optiplex7760aio,OptiPlex 7760 AIO
optiplex7770aio,OptiPlex 7770 AIO,optiplex7770aio,OptiPlex 7770 AIO
optiplex7780aio,OptiPlex 7780 AIO,optiplex7780aio,OptiPlex 7780 AIO
optiplexaio741065w,OptiPlex AIO 7410 65W,optiplexaio741065w,OptiPlex AIO 7410 65W
optiplexaio742065w,OptiPlex AIO 7420 65W,optiplexaio742065w,OptiPlex AIO 7420 65W
optiplexaioplus7410,OptiPlex AIO Plus 7410,optiplexaioplus7410,OptiPlex AIO Plus 7410
optiplexaioplus7420,OptiPlex AIO Plus 7420,optiplexaioplus7420,OptiPlex AIO Plus 7420
optiplexmicro7010,OptiPlex Micro 7010,optiplexmicro7010,OptiPlex Micro 7010
optiplexmicro7020,OptiPlex Micro 7020,optiplexmicro7020,OptiPlex Micro 7020
optiplexmicroplus7010,OptiPlex Micro Plus 7010,optiplexmicroplus7010,OptiPlex Micro Plus 7010
optiplexmicroplus7020,OptiPlex Micro Plus 7020,optiplexmicroplus7020,OptiPlex Micro Plus 7020
optiplexsffplus7010,OptiPlex SFF Plus 7010,optiplexsffplus7010,OptiPlex SFF Plus 7010
optiplexsffplus7020,OptiPlex SFF Plus 7020,optiplexsffplus7020,OptiPlex SFF Plus 7020
optiplextower7020,OptiPlex Tower 7020,optiplextower7020,OptiPlex Tower 7020
optiplextowerplus7010,OptiPlex Tower Plus 7010,optiplextowerplus7010,OptiPlex Tower Plus 7010
optiplexxe4series,OptiPlex XE4 series,optiplexxe4series,OptiPlex XE4 series
precision3450,Precision 3450,precision3450,Precision 3450
precision3460,Precision 3460,precision3460,Precision 3460
precision3480,Precision 3480,precision3480,Precision 3480
precision3490,Precision 3490,precision3490,Precision 3490
precision3561,Precision 3561,precision3561,Precision 3561
precision3571,Precision 3571,precision3571,Precision 3571
precision3580,Precision 3580,precision3580,Precision 3580
precision3590,Precision 3590,precision3590,Precision 3590
precision3591,Precision 3591,precision3591,Precision 3591
precision3630tower,Precision 3630 Tower,precision3630tower,Precision 3630 Tower
precision3640tower,Precision 3640 Tower,precision3640tower,Precision 3640 Tower
precision3650tower,Precision 3650 Tower,precision3650tower,Precision 3650 Tower
precision3660,Precision 3660,precision3660,Precision 3660
precision3680,Precision 3680,precision3680,Precision 3680
precision3930rack,Precision 3930 Rack,precision3930rack,Precision 3930 Rack
precision5490,Precision 5490,precision5490,Precision 5490
precision5520,Precision 5520,precision5520,Precision 5520
precision5530,Precision 5530,precision5530,Precision 5530
precision5540,Precision 5540,precision5540,Precision 5540
precision5550,Precision 5550,precision5550,Precision 5550
precision5680,Precision 5680,precision5680,Precision 5680
precision5690,Precision 5690,precision5690,Precision 5690
precision5750,Precision 5750,precision5750,Precision 5750
precision5820towerx-series,Precision 5820 Tower X-Series,precision5820towerx-series,Precision 5820 Tower X-Series
precision5860tower,Precision 5860 Tower,precision5860tower,Precision 5860 Tower
precision7550,Precision 7550,precision7550,Precision 7550
precision7680,Precision 7680,precision7680,Precision 7680
precision7820tower,Precision 7820 Tower,precision7820tower,Precision 7820 Tower
precision7920tower,Precision 7920 Tower,precision7920tower,Precision 7920 Tower
precision7960tower,Precision 7960 Tower,precision7960tower,Precision 7960 Tower
precisiontower3431,Precision Tower 3431,precisiontower3431,Precision Tower 3431
precisiontower5810,Precision Tower 5810,precisiontower5810,Precision Tower 5810
xps139300,XPS 13 9300,xps139300,XPS 13 9300
xps139310,XPS 13 9310,xps139310,XPS 13 9310
xps1393102-in-1,XPS 13 9310 2-in-1,xps1393102-in-1,XPS 13 9310 2-in-1
xps139340,XPS 13 9340,xps139340,XPS 13 9340
xps139360,XPS 13 9360,xps139360,XPS 13 9360
xps139370,XPS 13 9370,xps139370,XPS 13 9370
xps139380,XPS 13 9380,xps139380,XPS 13 9380
xps149440,XPS 14 9440,xps149440,XPS 14 9440
xps159500,XPS 15 9500,xps159500,XPS 15 9500
xps159510,XPS 15 9510,xps159510,XPS 15 9510
xps159520,XPS 15 9520,xps159520,XPS 15 9520
xps159530,XPS 15 9530,xps159530,XPS 15 9530
xps159575,XPS 15 9575,xps159575,XPS 15 9575
xps179710,XPS 17 9710,xps179710,XPS 17 9710
xps8930,XPS 8930,xps8930,XPS 8930
xps9320,XPS 9320,xps9320,XPS 9320
